Rep,Constituency,State,Question,Requires Attention,Categories
Afnan Hamimi Bin Taib Azamudden,Alor Setar,Kedah,"Terima kasih, Tuan Yang di-Pertua. Assalamualaikum warahmatullahi wabarakatuh dan salam sejahtera. Saya difahamkan Kerajaan Negeri Kedah telah memohon peruntukan berjumlah RM96 juta di dalam Rancangan Malaysia Ke-12 bagi membangunkan Sungai Kedah. Pembangunan Sungai Kedah adalah penting sebagai satu usaha untuk menjadikan Alor Setar sebagai bandar raya pelancongan. Permohonan ini mengandungi 12 komponen penting iaitu Pembangunan Kampung Tradisional, Naik Taraf Pekan Cina, Pengukuhan Tebing Sungai, Projek Jetty River Cruise, LED Billboard, dengan izin, pengindahan sungai, jambatan pejalan kaki dan basikal, pencahayaan, tapak kiosk penjaja, landskap dan hop-on hop-off bus, dengan izin. Oleh itu saya memohon pihak kementerian memberikan penjelasan: (i) apakah status permohonan ini?; dan (ii) apakah usaha-usaha lain yang dilakukan untuk menjadikan bandar raya Alor Setar sebagai bandar raya pelancongan? Sekian, terima kasih.",No,Development
Afnan Hamimi Bin Taib Azamudden,Alor Setar,Kedah,"Assalamualaikum warahmatullahi wabarakatuh dan salam sejahtera, Tuan Yang di-Pertua, Yang Berhormat Menteri. Pembangunan di Alor Setar didapati tidak serancak seperti di bandar- bandar utama di Malaysia berikutan faktor guna tanah utama di kawasan Alor Setar adalah tanah pertanian dalam skala yang besar. Berdasarkan maklumat yang ada di dalam Rancangan Tempatan Majlis Bandaraya Alor Setar (RTMBAS) 2035, keseluruhan keluasan guna tanah pertanian di dalam kawasan RTMBAS adalah seluas 48,892.91 hektar. Daripada jumlah tersebut, sebanyak 34,996.69 hektar adalah kawasan penanaman padi iaitu bersamaan 72 peratus daripada keseluruhan keluasan guna tanah pertanian. Keluasan guna tanah pertanian ini sedikit sebanyak merencatkan pembangunan daripada sektor komersil dan industri yang mendapat permintaan tinggi hari ini. Semakin membangun sesebuah bandar raya, maka, semakin terancamlah kawasan pertanian khususnya sawah padi akibat tekanan daripada sektor perbandaran, perumahan, perkilangan dan ancaman-ancaman lain yang berkaitan. Ancaman ini, jika tidak diurus dengan baik, akan menjejaskan kawasan pertanian dan jumlahnya akan semakin berkurangan sekali gus menjejaskan inisiatif sekuriti makanan negara. Walau bagaimanapun, kawasan pertanian khasnya sawah padi, tetap perlu dipelihara dengan serius, sama ada oleh Kerajaan Persekutuan mahupun kerajaan negeri. Sehubungan itu, minta pihak kementerian jelaskan: (i) adakah terdapat usaha atau perancangan khusus untuk mengekalkan tanah pertanian khususnya sawah padi yang terdapat di Bandaraya Alor Setar?;  (ii) adakah kementerian akan memohon kepada Kementerian Kewangan supaya diberikan insentif fiskal kepada Kerajaan Negeri Kedah bagi mengelakkan pembangunan di kawasan sawah padi?; dan (iii) adakah pihak kementerian bercadang untuk menggubal polisi khas mengenai pengekalan atau kelestarian kawasan pertanian di dalam negara bagi menyokong polisi sekuriti makanan negara? Sekian Tuan Yang di-Pertua, terima kasih.",Yes,Food Security;Development
Afnan Hamimi Bin Taib Azamudden,Alor Setar,Kedah,"SOALAN TUAN AFNAN HAMIMI BIN TAIB AZAMUDDEN [ ALOR SETAR ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan apakah perancangan untuk memulihkan Sungai Raja di dalam Bandaraya Alor Setar yang kini berbau, mengganggu pejalan kaki di sekitarnya, dan menjejaskan imej Bandaraya Alor Setar.",No,Water;Environment
Rodziah Binti Ismail,Ampang,Selangor,"Tuan Yang di-Pertua, dengan jajaran sepanjang 39.5 kilometer, East Klang Valley Expressway (EKVE) merupakan sebahagian daripada Kuala Lumpur Outer Ring Road (KLORR) yang terdiri daripada EKVE dan Kuala Lumpur Northern Dispersal Expressway (KL NODE). Ia menghubungkan MRR2 berhampiran Ulu Kelang dan Ukay Perdana di utara, melalui kawasan berkepadatan tinggi seperti Ampang, Hulu Langat dan Bandar Mahkota Cheras, berakhir di Lebuh Raya SILK berhampiran Bandar Sungai Long di selatan. Perbelanjaan keseluruhan diunjurkan RM2.2 billion dengan fasa satu iaitu Jajaran Sungai Long-Ampang sepanjang 24.1 kilometer dengan kos RM1.55 billion dijangka siap dan dibuka secara berperingkat pada tahun 2024. Meskipun pembinaan bermula 1 September 2015 dan asalnya dijangka siap pada 2019, pemaju projek, EKVE Sdn. Bhd., anak syarikat Ahmad Zaki Resources Bhd. (AZRB) telah dibenarkan extension of time beberapa kali tanpa perlu membayar late payment fees kepada Lembaga Lebuh Raya Malaysia (LLM). KL NODE, masih dalam peringkat cadangan, merupakan sambungan bagi EKVE yakni pelengkap KLORR dengan jajaran 24 km yang mana 83 peratus adalah bertingkat namun tertakluk kepada kelulusan akhir. Bermula dari Hulu Klang ke kawasan perumahan Taman Melawati dan Taman Melati, Gombak, Selayang Heights dan berakhir berhampiran Taman Hutan Eko Kanching, ia menghubungkan koridor trafik timur iaitu EKVE dengan utara Lembah Klang iaitu LATAR. Pemaju projek iaitu Sambungan Lebuh Raya Timur Sdn Bhd (SLT), anak syarikat milik penuh AZRB, dijangka akan memulakan pembinaannya tahun 2024.  Soalan saya kepada kementerian: (i) apakah punca sebenar EKVE tertangguh bertahun lamanya setelah siap 91 peratus?; (ii) benarkah borang ‘H’ dengan nilai pampasan asal perlu dibayar sebanyak RM11.2 juta iaitu sebelum faedah kepada pemilik tanah di Beverly Heights telah dikeluarkan oleh kerajaan negeri pada Oktober 2018?; (iii) apakah justifikasi bagi cadangan AZRB menukar reka bentuk selekoh berbentuk ‘Untuk' di flyover berhadapan rumah pemilik tanah demi mengelakkan pembayaran pampasan kepada beliau? Adakah perubahan reka bentuk ini yang secara mata kasar amat berbahaya iaitu sharp corner telah memenuhi semua terma dan syarat teknikal serta diberi kelulusan LLM?; (iv) apakah status terkini saman AZRB terhadap Kerajaan Negeri Selangor yang difailkan pada Jun 2019?; (v) benarkah dakwaan bahawa KL NODE sebenarnya kontra penyelamat bagi AZRB yang kini terkapai-kapai dengan liabiliti sebanyak RM3.56 bilion?; (vi) adakah Kerajaan Persekutuan bersetuju bahawa perbelanjaan besar untuk menyiapkan projek KL NODE, dianggarkan hampir RM8 bilion lebih baik digunakan untuk memperbaiki dan menaik taraf pengangkutan awam intra bandar? Adakah kajian trafik telah dibuat? Jika ‘ya’, mohon dikongsikan hasil kajian tersebut. Dengan pandangan bahawa peruntukan besar untuk KL NODE lebih bermanfaat dibelanjakan untuk projek pengangkutan awam terutama intra bandar, Ampang memohon keputusan ini disemak semula. Sekian, terima kasih.",No,Development
Rodziah Binti Ismail,Ampang,Selangor,"SOALAN PUAN RODZIAH BINTI ISMAIL [ AMPANG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan bagaimana komitmen Kementerian untuk aktif dalam inisiatif global menjunjung ‘environmental justice’ sama ada dalam bentuk ‘distributive justice’, ‘procedural justice’ atau ‘recognition justice’ melalui penggubalan dan pelaksanaan undang-undang di samping membentangkan status Strategic Plan 2020 - 2030:Environmental Sustainability in Malaysia.",Yes,Climate Change;Environment
Rodziah Binti Ismail,Ampang,Selangor,"SOALAN PUAN RODZIAH BINTI ISMAIL [ AMPANG ] minta MENTERI PENGANGKUTAN menyatakan status rancangan, hala tuju dan prestasi Agensi Pengangkutan Awam Darat dalam menjamin ketersambungan pengangkutan awam terutama bagi mereka yang berulang-alik dalam Greater KL/Lembah Kelang atau di bandar utama lain termasuk peruntukan Kerajaan Persekutuan dalam membantu operasi bas intrabandar.",No,Development;Environment
Shahidan Bin Kassim,Arau,Perlis," minta Perdana Menteri menyatakan  penjelasan Kerajaan Persekutuan mengapa masih tidak melaksanakan darurat banjir khususnya di Johor sedangkan situasi semakin buruk dengan jumlah mangsa banjir terus melonjak di PPS sehingga 44,860 orang setakat jam 8 pagi Ahad, 5 Mac 2023 dan sudah meragut empat nyawa serta ramalan Jabatan Meteorologi Malaysia (MetMalaysia) bahawa hujan berterusan pada tahap buruk sehingga Selasa.  Dato’ Seri Dr. Shahidan bin Kassim",Yes,Climate Change;Climate Disaster;Flood
Mohd Syahir Bin Che Sulaiman,Bachok,Kelantan,"SOALAN TUAN MOHD SYAHIR BIN CHE SULAIMAN [ BACHOK ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan perancangan jangka pendek dan jangka panjang Kementerian untuk membina struktur pengawalan hakisan pantai di kawasan Parlimen P.025 Bachok yang bagi mengatasi permasalahan hakisan yang semakin teruk setiap kali musim tengkujuh seterusnya menjejaskan aktiviti nelayan dan penempatan penduduk.",Yes,Climate Disaster;Development;Ocean
Idris Bin Ahmad,Bagan Serai,Perak,"SOALAN DATUK HAJI IDRIS BIN AHMAD [ BAGAN SERAI ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan status projek tebatan banjir di bawah JPS yang telah mengemukakan permohonan di bawah Rancangan Malaysia Ke-12 (RMK12) terutama di kawasan Bagan Serai yang melibatkan kos RM23 juta.",Yes,Climate Disaster;Development;Flood
Idris Bin Ahmad,Bagan Serai,Perak,"SOALAN DATUK HAJI IDRIS BIN AHMAD [ BAGAN SERAI ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan jumlah pam-pam bergerak yang disediakan di bawah Jabatan Pengairan dan Saliran (JPS) bagi mengurangkan risiko banjir terutama di kawasan sawah padi.",No,Pollution;Food Security;Flood
